date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:13:46	141292/141292	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:46%20GMT	https://www.experte.com/background-remover	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/background-remover.html	(from )
19:13:47	14/14	---M--	200	added ('OK')	text/plain	etag:W/%22e-4977387000%22	https://www.experte.com/robots.txt		(from )
19:13:48	85623/85623	---MCZ	200	added ('OK')	text/css	etag:W/%2214e77-4977387000%22	https://www.experte.com/styles.css	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/styles.css	(from https://www.experte.com/background-remover)
19:13:48	22076/22076	---M--	200	added ('OK')	font/woff2	etag:W/%22563c-4977387000%22	https://www.experte.com/assets/fonts/gilroy-regular.woff2	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/fonts/gilroy-regular.woff2	(from https://www.experte.com/background-remover)
19:13:48	22268/22268	---M--	200	added ('OK')	font/woff2	etag:W/%2256fc-4977387000%22	https://www.experte.com/assets/fonts/gilroy-medium.woff2	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/fonts/gilroy-medium.woff2	(from https://www.experte.com/background-remover)
19:13:48	22056/22056	---M--	200	added ('OK')	font/woff2	etag:W/%225628-4977387000%22	https://www.experte.com/assets/fonts/gilroy-bold.woff2	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/fonts/gilroy-bold.woff2	(from https://www.experte.com/background-remover)
19:13:48	755/755	---M--	200	added ('OK')	image/png	etag:W/%222f3-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/apple-touch-icon.png	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/favicons/www.experte.com/apple-touch-icon.png	(from https://www.experte.com/background-remover)
19:13:49	1454/1454	---M--	200	added ('OK')	image/png	etag:W/%225ae-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/favicon-32x32.png	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/favicons/www.experte.com/favicon-32x32.png	(from https://www.experte.com/background-remover)
19:13:49	1016/1016	---M--	200	added ('OK')	image/png	etag:W/%223f8-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/favicon-16x16.png	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/favicons/www.experte.com/favicon-16x16.png	(from https://www.experte.com/background-remover)
19:13:50	350/350	---MCZ	200	added ('OK')	application/manifest+json	etag:W/%2215e-4977387000%22	https://www.experte.com/assets/favicons/www.experte.com/site.webmanifest	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/assets/favicons/www.experte.com/site.webmanifest	(from https://www.experte.com/background-remover)
19:13:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:50%20GMT	http://www.experte.com/	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/index.html	(from https://www.experte.com/background-remover)
19:13:50	177304/177304	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:50%20GMT	https://www.experte.com/fr/background-remover	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/fr/background-remover.html	(from https://www.experte.com/background-remover)
19:13:50	2955/2955	---M--	200	added ('OK')	image/png	etag:%22c4d536dfaec578a6fcbd0dc009965d9c%22	https://images.ctfassets.net/0exzujcgu96f/3absXOlAosdCfHKrtP0gBw/25f3b94e4286722883cd319991eaa492/experte-com-logo.png?h=38	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/images.ctfassets.net/0exzujcgu96f/3absXOlAosdCfHKrtP0gBw/25f3b94e4286722883cd319991eaa492/experte-com-logo5cda.png	(from https://www.experte.com/background-remover)
19:13:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:50%20GMT	http://www.experte.com/website	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website	(from https://www.experte.com/background-remover)
19:13:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:52%20GMT	http://www.experte.com/create-a-website	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/create-a-website	(from https://www.experte.com/background-remover)
19:13:52	178431/178431	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:52%20GMT	https://www.experte.com/website	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website.html	(from https://www.experte.com/background-remover)
19:13:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:52%20GMT	http://www.experte.com/website-builder	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website-builder	(from https://www.experte.com/background-remover)
19:13:53	572170/572170	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:52%20GMT	https://www.experte.com/create-a-website	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/create-a-website.html	(from https://www.experte.com/background-remover)
19:13:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:53%20GMT	http://www.experte.com/ecommerce	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/ecommerce	(from https://www.experte.com/background-remover)
19:13:55	898100/898100	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:53%20GMT	https://www.experte.com/website-builder	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website-builder.html	(from https://www.experte.com/background-remover)
19:13:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:55%20GMT	http://www.experte.com/wordpress-hosting	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/wordpress-hosting	(from https://www.experte.com/background-remover)
19:13:57	731139/731139	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:55%20GMT	https://www.experte.com/ecommerce	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/ecommerce.html	(from https://www.experte.com/background-remover)
19:13:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:57%20GMT	http://www.experte.com/domains	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/domains	(from https://www.experte.com/background-remover)
19:13:59	811482/811482	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:57%20GMT	https://www.experte.com/wordpress-hosting	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/wordpress-hosting.html	(from https://www.experte.com/background-remover)
19:14:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:43:59%20GMT	http://www.experte.com/website/tools	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website/tools	(from https://www.experte.com/background-remover)
19:14:01	111913/111913	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:43:59%20GMT	https://www.experte.com/domains	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/domains.html	(from https://www.experte.com/background-remover)
19:14:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:01%20GMT	http://www.experte.com/design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/design	(from https://www.experte.com/background-remover)
19:14:02	157306/157306	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:01%20GMT	https://www.experte.com/website/tools	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/website/tools.html	(from https://www.experte.com/background-remover)
19:14:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:03%20GMT	http://www.experte.com/online-design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/online-design	(from https://www.experte.com/background-remover)
19:14:03	136791/136791	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:02%20GMT	https://www.experte.com/design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/design.html	(from https://www.experte.com/background-remover)
19:14:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:03%20GMT	http://www.experte.com/logo-design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/logo-design	(from https://www.experte.com/background-remover)
19:14:04	437471/437471	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:03%20GMT	https://www.experte.com/online-design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/online-design.html	(from https://www.experte.com/background-remover)
19:14:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:04%20GMT	http://www.experte.com/stock-photos	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/stock-photos	(from https://www.experte.com/background-remover)
19:14:05	476180/476180	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:04%20GMT	https://www.experte.com/logo-design	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/logo-design.html	(from https://www.experte.com/background-remover)
19:14:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:05%20GMT	http://www.experte.com/design/tools	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/design/tools	(from https://www.experte.com/background-remover)
19:14:07	608368/608368	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:05%20GMT	https://www.experte.com/stock-photos	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/stock-photos.html	(from https://www.experte.com/background-remover)
19:14:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:07%20GMT	http://www.experte.com/it-security	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/it-security	(from https://www.experte.com/background-remover)
19:14:09	121330/121330	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:07%20GMT	https://www.experte.com/design/tools	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/design/tools.html	(from https://www.experte.com/background-remover)
19:14:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:09%20GMT	http://www.experte.com/antivirus	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/antivirus	(from https://www.experte.com/background-remover)
19:14:09	230528/230528	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:09%20GMT	https://www.experte.com/it-security	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/it-security.html	(from https://www.experte.com/background-remover)
19:14:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Jan%202024%2013:44:10%20GMT	http://www.experte.com/vpn	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/vpn	(from https://www.experte.com/background-remover)
19:14:11	992651/992651	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20Jan%202024%2013:44:10%20GMT	https://www.experte.com/antivirus	C:/Users/Sanvi%20Sardana/Downloads/New%20folder%20(4)/kell/www.experte.com/antivirus.html	(from https://www.experte.com/background-remover)
